RM,Spring Wheat_mean,Spring Wheat_std,Clusters_4,Clusters_5,Clusters_6
1,39.50473684210527,9.57384421131116,2,3,5
10,22.198823529411765,4.784442081310188,0,1,2
100,29.491052631578942,12.057307555879795,0,1,2
101,24.561500000000002,5.2115966590712,0,1,2
102,30.7565,11.255143046625395,0,2,1
103,31.6115,8.170822463916474,0,2,1
104,28.463,6.962713551482641,0,1,2
105,28.586000000000002,6.828211910503133,0,1,2
106,28.345499999999998,7.266156208934102,0,1,2
107,31.206,9.162066762931879,0,2,1
108,32.275,7.573369200866388,0,2,1
109,34.095,7.916744745690682,2,2,1
11,25.695,5.673184901188832,0,1,2
110,27.90157894736842,7.795814591574045,0,1,2
111,31.327499999999997,11.02374035052484,0,2,1
12,26.212105263157895,10.893252028943508,0,1,2
121,45.847,13.259711078856016,1,0,3
122,42.3405,7.5977285213549575,1,0,4
123,40.086,10.25317686326895,2,3,5
124,36.515,8.418762566903451,2,3,5
125,40.3445,8.384555648396203,2,3,5
126,38.692,8.635520646846098,2,3,5
127,36.908,8.931693185387344,2,3,5
128,40.881,11.97167090303297,1,3,5
129,32.3835,8.776962233747598,0,2,1
130,38.662,10.645182058219183,2,3,5
131,35.6705,7.923621895785313,2,2,1
132,28.107777777777777,6.763521146610955,0,1,2
133,28.661052631578944,6.247536309740061,0,1,2
134,26.773500000000002,7.09050979905721,0,1,2
135,31.259000000000004,8.628485809713142,0,2,1
136,34.0165,9.118107072136594,2,2,1
137,35.5875,8.30444261255764,2,2,1
138,36.4065,9.025973792047969,2,3,5
139,31.925789473684212,6.892135063316313,0,2,1
141,31.648000000000003,8.726569591890348,0,2,1
142,31.2925,6.020910820238345,0,2,1
151,39.480000000000004,10.061948644587478,2,3,5
152,39.378,11.266342328976348,2,3,5
153,36.475,13.031683859368531,2,3,5
154,40.4245,9.216161134259295,2,3,5
155,42.536500000000004,10.58270947049205,1,0,4
156,43.2175,10.544306957336092,1,0,4
157,39.5175,10.713901876583183,2,3,5
158,38.247,9.465669882041604,2,3,5
159,39.7305,10.916982171682887,2,3,5
160,42.1145,8.86992878093998,1,0,4
161,42.957,8.296212261914278,1,0,4
162,36.9425,8.649781180682213,2,3,5
163,29.631,6.671294279854626,0,1,2
164,27.416000000000004,7.1687144850678095,0,1,2
165,32.832499999999996,7.151211067843133,0,2,1
166,31.4315,8.076582963631406,0,2,1
167,33.734,8.598156105878317,2,2,1
168,27.468,7.736211911319526,0,1,2
169,33.916666666666664,8.537322903167079,2,2,1
17,27.932105263157897,9.397133474834742,0,1,2
171,30.975,8.05385066451544,0,2,1
18,27.702499999999997,10.444713533145544,0,1,2
181,44.9485,9.320067921031022,1,0,4
183,41.586,9.24447396812649,1,3,4
184,35.582,8.444782007719013,2,2,1
185,39.5415,9.854725436106914,2,3,5
186,44.1785,10.96544057962393,1,0,4
187,41.2965,10.334325672498577,1,3,5
189,39.753499999999995,8.479322387897206,2,3,5
19,24.3365,7.242126232566032,0,1,2
190,30.05,6.499715783259903,0,1,2
191,43.570499999999996,10.603529439717105,1,0,4
193,32.613,7.817774686739926,0,2,1
194,30.459500000000002,8.884096065145673,0,2,1
2,39.70263157894737,7.747469724658687,2,3,5
211,43.995,9.320947828469624,1,0,4
213,40.92,9.117369773073122,2,3,5
214,37.5535,8.020069743101395,2,3,5
215,36.225,9.835251582151347,2,3,5
216,37.085,9.425227346134193,2,3,5
217,39.2855,10.045079169738578,2,3,5
218,36.868,9.963609893269767,2,3,5
219,34.915499999999994,8.581317206583146,2,2,1
220,35.2835,8.356133124207254,2,2,1
221,33.698,9.898496749241112,2,2,1
222,38.632,10.207181476010433,2,3,5
223,32.338,7.986966092855348,0,2,1
224,37.00105263157894,9.917446408973117,2,3,5
225,33.45,9.573154899866715,2,2,1
226,32.328500000000005,9.519245478171271,0,2,1
228,32.561,9.019421092404174,0,2,1
229,32.0185,8.57664777784789,0,2,1
230,32.20333333333333,10.352186469817974,0,2,1
231,34.005,6.86687740265966,2,2,1
232,30.9695,7.293660892208131,0,2,1
241,38.590999999999994,9.573026194799416,2,3,5
243,42.9995,7.9893550724501035,1,0,4
244,42.879000000000005,9.713875534241568,1,0,4
245,37.8195,9.713519322654323,2,3,5
246,36.1725,7.265064838338548,2,2,1
247,34.947,8.38358866759149,2,2,1
248,36.551,9.736240980021629,2,3,5
250,35.655,7.104240764649329,2,2,1
251,36.6115,8.558290086841316,2,3,5
252,35.83,8.986667317403276,2,2,1
253,36.2495,8.964656024163947,2,2,5
254,35.584999999999994,8.960087229368623,2,2,1
255,33.932,8.313214338123307,2,2,1
256,30.8585,7.945391431515502,0,2,1
257,33.9755,9.208628948180243,2,2,1
259,37.751,8.970490158525928,2,3,5
260,34.0995,7.389847569825994,2,2,1
261,32.914,8.752499432492954,0,2,1
271,49.7535,13.33629762991529,3,4,3
273,45.899,10.746733604118731,1,0,4
274,40.559,11.462309356734085,2,3,5
275,40.00315789473684,8.82989999479771,2,3,5
276,39.046499999999995,11.218816090554483,2,3,5
277,35.3275,9.219703657185288,2,2,1
279,37.10909090909091,13.256278100994603,2,3,5
280,39.821,8.635219742426942,2,3,5
281,39.185500000000005,8.853691751556461,2,3,5
282,36.872,10.25240849751901,2,3,5
283,34.6785,8.84734053112483,2,2,1
284,34.9675,8.145649710767483,2,2,1
285,32.0185,6.779647774580064,0,2,1
286,32.7205,8.801545602904072,0,2,1
287,37.589,10.855632009044403,2,3,5
288,32.823,9.016091521041114,0,2,1
290,37.033,8.251197106130148,2,3,5
292,33.91842105263158,10.61907207871128,2,2,1
3,38.6025,8.680310372209897,2,3,5
301,46.69315789473684,11.594886350184046,1,0,3
303,50.511,10.3333751046128,3,4,3
304,44.48350000000001,11.554451078992985,1,0,4
305,39.482,13.193844098869107,2,3,5
307,38.344,9.158838928942675,2,3,5
308,41.7605,10.225154985313631,1,3,4
309,47.1355,11.547269659055655,1,0,3
31,39.0065,8.589622425988969,2,3,5
310,45.296499999999995,10.297435181431807,1,0,4
