,Spring Wheat,Spring Wheat,Spring Wheat,Spring Wheat
,mean,std,min,max
RM,,,,
1,39.50473684210527,9.57384421131116,24.8,56.0
10,22.198823529411765,4.784442081310188,13.79,35.0
100,29.491052631578942,12.057307555879795,14.7,70.0
101,24.561500000000002,5.2115966590712,15.1,36.1
102,30.7565,11.255143046625395,12.0,61.5
103,31.6115,8.170822463916474,16.6,44.9
104,28.463,6.962713551482641,9.4,39.3
105,28.586000000000002,6.828211910503133,11.1,39.0
106,28.345499999999998,7.266156208934102,16.2,42.6
107,31.206,9.162066762931879,12.5,57.5
108,32.275,7.573369200866388,13.5,46.7
109,34.095,7.916744745690682,23.9,53.0
11,25.695,5.673184901188832,15.7,35.94
110,27.90157894736842,7.795814591574045,5.0,37.5
111,31.327499999999997,11.02374035052484,15.0,54.6
12,26.212105263157895,10.893252028943508,6.9,45.05
121,45.847,13.259711078856016,26.3,67.8
122,42.3405,7.5977285213549575,31.3,56.7
123,40.086,10.25317686326895,24.7,59.7
124,36.515,8.418762566903451,24.3,48.1
125,40.3445,8.384555648396203,27.1,56.6
126,38.692,8.635520646846098,22.6,53.9
127,36.908,8.931693185387344,20.2,56.2
128,40.881,11.97167090303297,20.1,63.5
129,32.3835,8.776962233747598,17.2,47.6
130,38.662,10.645182058219183,24.5,62.4
131,35.6705,7.923621895785313,17.9,48.2
132,28.107777777777777,6.763521146610955,13.0,38.9
133,28.661052631578944,6.247536309740061,15.9,40.9
134,26.773500000000002,7.09050979905721,6.9,37.8
135,31.259000000000004,8.628485809713142,12.1,46.6
136,34.0165,9.118107072136594,15.7,51.4
137,35.5875,8.30444261255764,17.3,50.0
138,36.4065,9.025973792047969,20.8,49.8
139,31.925789473684212,6.892135063316313,17.4,42.5
141,31.648000000000003,8.726569591890348,9.6,47.0
142,31.2925,6.020910820238345,11.7,38.29
151,39.480000000000004,10.061948644587478,22.7,54.9
152,39.378,11.266342328976348,22.9,58.1
153,36.475,13.031683859368531,20.6,62.0
154,40.4245,9.216161134259295,25.0,57.1
155,42.536500000000004,10.58270947049205,25.6,59.7
156,43.2175,10.544306957336092,19.9,66.8
157,39.5175,10.713901876583183,23.7,60.1
158,38.247,9.465669882041604,26.5,55.3
159,39.7305,10.916982171682887,15.38,57.8
160,42.1145,8.86992878093998,25.4,58.3
161,42.957,8.296212261914278,29.8,59.7
162,36.9425,8.649781180682213,23.2,51.9
163,29.631,6.671294279854626,16.4,41.0
164,27.416000000000004,7.1687144850678095,14.9,43.9
165,32.832499999999996,7.151211067843133,13.5,45.6
166,31.4315,8.076582963631406,13.6,47.0
167,33.734,8.598156105878317,18.7,51.6
168,27.468,7.736211911319526,12.7,39.3
169,33.916666666666664,8.537322903167079,19.0,50.2
17,27.932105263157897,9.397133474834742,11.0,42.5
171,30.975,8.05385066451544,11.1,47.8
18,27.702499999999997,10.444713533145544,8.27,46.8
181,44.9485,9.320067921031022,28.5,63.5
183,41.586,9.24447396812649,28.9,60.9
184,35.582,8.444782007719013,20.4,49.7
